[2026-03-29T00:45:47.312Z] GET http://localhost:8743/ → 200 (7ms, 79806B)
[2026-03-29T00:45:47.326Z] GET https://fonts.googleapis.com/css2?family=Bebas+Neue&family=Inter:wght@300;400;500;600;700;800;900&display=swap → 200 (103ms, 18416B)
[2026-03-29T00:45:47.476Z] GET http://localhost:8743/img-lawn.jpg → 200 (1ms, 323798B)
[2026-03-29T00:45:47.476Z] GET http://localhost:8743/img-pressure.jpg → 200 (2ms, 333598B)
[2026-03-29T00:45:47.476Z] GET http://localhost:8743/img-car.jpg → 200 (3ms, 251278B)
[2026-03-29T00:45:47.476Z] GET http://localhost:8743/img-work.jpg → 200 (2ms, 455776B)
[2026-03-29T00:45:47.476Z] GET https://fonts.gstatic.com/s/bebasneue/v16/JTUSjIg69CK48gW7PXoo9WlhyyTh89Y.woff2 → 200 (66ms, 8596B)
[2026-03-29T00:45:47.476Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (66ms, 48432B)
[2026-03-29T00:47:29.078Z] GET http://localhost:8743/ → 200 (1ms, 79806B)
[2026-03-29T00:47:29.083Z] GET https://fonts.googleapis.com/css2?family=Bebas+Neue&family=Inter:wght@300;400;500;600;700;800;900&display=swap → 200 (?ms, 18416B)
[2026-03-29T00:47:29.086Z] GET https://fonts.gstatic.com/s/bebasneue/v16/JTUSjIg69CK48gW7PXoo9WlhyyTh89Y.woff2 → 200 (?ms, ?B)
[2026-03-29T00:47:29.086Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-03-29T00:47:29.087Z] GET http://localhost:8743/img-lawn.jpg → 200 (?ms, 323798B)
[2026-03-29T00:47:29.087Z] GET http://localhost:8743/img-pressure.jpg → 200 (?ms, 333598B)
[2026-03-29T00:47:29.087Z] GET http://localhost:8743/img-car.jpg → 200 (?ms, 251278B)
[2026-03-29T00:47:29.087Z] GET http://localhost:8743/img-work.jpg → 200 (?ms, 455776B)
[2026-03-29T00:52:21.835Z] GET http://localhost:8743/ → 200 (1ms, 80898B)
[2026-03-29T00:52:21.838Z] GET https://fonts.googleapis.com/css2?family=Bebas+Neue&family=Inter:wght@300;400;500;600;700;800;900&display=swap → 200 (?ms, 18416B)
[2026-03-29T00:52:21.841Z] GET https://fonts.gstatic.com/s/bebasneue/v16/JTUSjIg69CK48gW7PXoo9WlhyyTh89Y.woff2 → 200 (?ms, ?B)
[2026-03-29T00:52:21.841Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-03-29T00:52:21.841Z] GET http://localhost:8743/img-lawn.jpg → 200 (?ms, 323798B)
[2026-03-29T00:52:21.841Z] GET http://localhost:8743/img-pressure.jpg → 200 (1ms, 333598B)
[2026-03-29T00:52:21.842Z] GET http://localhost:8743/img-car.jpg → 200 (?ms, 251278B)
[2026-03-29T00:52:21.842Z] GET http://localhost:8743/img-work.jpg → 200 (?ms, 455776B)
[2026-03-29T00:52:23.979Z] GET http://localhost:8743/ → 200 (1ms, 80898B)
[2026-03-29T00:52:23.982Z] GET https://fonts.googleapis.com/css2?family=Bebas+Neue&family=Inter:wght@300;400;500;600;700;800;900&display=swap → 200 (?ms, 18416B)
[2026-03-29T00:52:23.984Z] GET https://fonts.gstatic.com/s/bebasneue/v16/JTUSjIg69CK48gW7PXoo9WlhyyTh89Y.woff2 → 200 (1ms, ?B)
[2026-03-29T00:52:23.985Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-03-29T00:52:23.985Z] GET http://localhost:8743/img-lawn.jpg → 200 (?ms, 323798B)
[2026-03-29T00:52:23.985Z] GET http://localhost:8743/img-pressure.jpg → 200 (?ms, 333598B)
[2026-03-29T00:52:23.985Z] GET http://localhost:8743/img-car.jpg → 200 (?ms, 251278B)
[2026-03-29T00:52:23.985Z] GET http://localhost:8743/img-work.jpg → 200 (?ms, 455776B)
[2026-03-29T00:52:39.087Z] GET http://localhost:8743/ → 200 (2ms, 80898B)
[2026-03-29T00:52:39.092Z] GET https://fonts.googleapis.com/css2?family=Bebas+Neue&family=Inter:wght@300;400;500;600;700;800;900&display=swap → 200 (?ms, 18416B)
[2026-03-29T00:52:39.094Z] GET https://fonts.gstatic.com/s/bebasneue/v16/JTUSjIg69CK48gW7PXoo9WlhyyTh89Y.woff2 → 200 (?ms, ?B)
[2026-03-29T00:52:39.094Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
